data;

param nPaths := 14;
param n := 13;

param Matrix : 
		1 2 3 4 5 6 7 8 9 10 11 12 13 :=
	1	1 0 1 0 0 0 0 0 0 0  0  0  1 
	2 	1 1 1 0 0 0 0 0 0 0  0  0  1
	3 	1 1 1 1 0 1 0 0 0 0  0  0  1
	4	1 1 1 1 1 1 0 0 0 0  0  0  1
	5	1 1 0 1 1 0 0 0 1 1  0  1  1
	6	1 1 0 1 0 1 1 0 1 1  0  1  1
	7	1 1 0 1 0 1 0 1 1 1  0  1  1
	8	1 1 0 1 1 0 0 0 1 1  1  1  1
	9	1 1 0 1 1 1 1 0 1 1  0  1  1
	10	1 1 0 1 1 1 0 1 1 1  0  1  1
	11	1 1 0 1 0 1 0 1 1 1  1  1  1
	12	1 1 0 1 0 1 1 0 1 1  1  1  1 
	13	1 1 0 1 1 1 0 1 1 1  1  1  1
	14	1 1 0 1 1 1 1 0 1 1  1  1  1
	;

param Weight := 
	[1]  3
	[2]  4
	[3]  6
	[4]  7
	[5]  7
	[6]  9
	[7]  9
	[8]  9
	[9]  10
	[10] 10
	[11] 10
	[12] 10
	[13] 11
	[14] 11
	;

end;
