data;

param n := 37;
param s := 0;
param t := 36;

param : E :   c := 
0  1	1
0  2	1
1  2	1
2  3	1
3  4	1
4  2	1
4  5	1
5  3	1
5  6	1
6  7	1
7  8	1
8  6	1
8  9	1
9  10	1
9  11	1
9  13	1
10 11	1
10 12	1
10 13	1
11 14	1
12 13	1
13 15	1
14 15	1
15 16	1
16 17	1
17 15	1
17 18	1
18 19	1
19 17	1
19 20	1
20 18	1
20 21	1
21 22	1
22 20	1
22 23	1
23 24	1
24 22	1
24 25	1
25 26	1
26 24	1
26 27	1
27 28	1
28 26	1
28 29	1
29 27	1
29 30	1
29 31	1
29 32	1
30 34	1
31 33	1
32 36	1
33 35	1
33 36	1
34 36	1
35 36	1
;

end;

